,Address,Cars,Bluecar counter,Utilib counter,Utilib 1.4 counter,Charge Slots,Charging Status,City,ID,Kind,Geo point,Postal code,Public name,Rental status,Slots,Status,Subscription status,year,month,day,hour,minute,new_datetime
3852,98 rue de Turenne,0,0,0,0,0,operational,Paris,paris-turenne-98,STATION,"48.8623505, 2.3648513",75003,Paris/Turenne/98,operational,4,ok,nonexistent,2018,4,8,16,37,2018-04-08 16:37:00
3853,5 rue Jacques Callot,0,0,0,0,0,nonexistent,Paris,paris-jacquescallot-5,STATION,"48.8552045, 2.3371078",75006,Paris/Jacques Callot/5,operational,2,ok,nonexistent,2018,4,3,9,12,2018-04-03 09:12:00
3854,1 Rue de WolfenbÃ¼ttel,5,5,0,0,0,nonexistent,SÃ¨vres,sevres-wolfenbuttel-1,STATION,"48.812502, 2.213332",92310,SÃ¨vres/WolfenbÃ¼ttel/1,operational,1,ok,nonexistent,2018,4,2,10,45,2018-04-02 10:45:00
3855,7 boulevard de Picpus,3,3,1,0,0,operational,Paris,paris-picpus-7,STATION,"48.8406851, 2.400428",75012,Paris/Picpus/7,operational,1,ok,nonexistent,2018,4,5,9,23,2018-04-05 09:23:00
3856,48 Avenue de Saint-MandÃ©,3,3,0,0,0,nonexistent,Paris,paris-saintmande-48,STATION,"48.8449828, 2.4019623",75012,Paris/Saint-MandÃ©/48,operational,1,ok,nonexistent,2018,4,7,17,18,2018-04-07 17:18:00
3857,102 Rue Juliette Savar,6,6,0,0,0,nonexistent,CrÃ©teil,creteil-juliettesavar-102,STATION,"48.77664, 2.467872",94000,CrÃ©teil/Juliette Savar/102,operational,0,ok,nonexistent,2018,4,7,20,13,2018-04-07 20:13:00
3858,10 avenue Georges ClÃ©menceau,5,5,0,0,0,nonexistent,Nogent-sur-Marne,nogentsurmarne-georgesclemenceau-10,STATION,"48.835662, 2.4723332",94130,Nogent-sur-Marne/Georges ClÃ©menceau/10,operational,1,ok,nonexistent,2018,4,2,23,10,2018-04-02 23:10:00
3859,2 rue du GÃ©nÃ©ral Renault,5,5,0,0,0,nonexistent,Paris,paris-renault-2,STATION,"48.8611413, 2.3781941",75011,Paris/Renault/2,operational,0,ok,nonexistent,2018,4,4,7,48,2018-04-04 07:48:00
3860,221 rue Saint-Jacques,1,1,0,0,0,nonexistent,Paris,paris-saintjacques-221,STATION,"48.8438007, 2.341924",75005,Paris/Saint-Jacques/221,operational,1,ok,nonexistent,2018,4,5,20,13,2018-04-05 20:13:00
3861,10 Rue du Ranelagh,0,0,0,0,0,nonexistent,Paris,paris-ranelagh-10,STATION,"48.8533737, 2.2794884",75016,Paris/Ranelagh/10,operational,4,ok,nonexistent,2018,4,8,17,20,2018-04-08 17:20:00
3862,43 rue Vivienne,0,0,0,0,0,nonexistent,Paris,paris-vivienne-43,STATION,"48.8705626, 2.3408933",75002,Paris/Vivienne/43,broken,0,closed,nonexistent,2018,4,8,6,55,2018-04-08 06:55:00
3863,52 boulevard de Charonne,4,4,0,0,0,operational,Paris,paris-charonne-52,STATION,"48.8518536, 2.3982137",75020,Paris/Charonne/52,operational,2,ok,nonexistent,2018,4,6,20,19,2018-04-06 20:19:00
3864,24 rue de LiÃ¨ge,2,2,0,0,0,operational,Paris,paris-liege-24,STATION,"48.8795963, 2.3263307",75008,Paris/LiÃ¨ge/24,operational,3,ok,nonexistent,2018,4,5,18,35,2018-04-05 18:35:00
3865,35 avenue du GÃ©nÃ©ral Leclerc,0,0,0,0,0,nonexistent,Bourg-la-Reine,bourglareine-leclerc-35,STATION,"48.7847049, 2.3176864",92340,Bourg-la-Reine/Leclerc/35,broken,0,closed,nonexistent,2018,4,9,1,44,2018-04-09 01:44:00
3866,112 Avenue de Suffren,5,5,0,0,0,operational,Paris,paris-suffren-112,STATION,"48.848923, 2.3045476",75015,Paris/Suffren/112,operational,0,ok,nonexistent,2018,4,7,6,36,2018-04-07 06:36:00
